country,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,2020_gdp,2021_gdp,2022_gdp
Iran,730000,850000,900000,1000000,1100000,1410403,1452965,901268,691709,1106700,1055400,1320300,1361456,912563,51103,0,0,0
Iraq,2000,5000,4000,20000,35000,65000,71500,80000,78200,61000,33500,16000,16766,32309,619028,0,0,0
Ireland,171742,178484,186325,151607,57453,88446,89911,79498,74367,96284,124804,146600,131332,125557,117109,88324,104669,105253
Israel,130000,130000,200000,170000,160000,200000,210000,190000,200000,228000,247300,276900,271134,257465,239671,202366,272646,257743
Italy,2244108,2335462,2494115,2161359,2159465,1961580,1749740,1403010,1304648,1360578,1575737,1824968,1970497,1910025,1916949,1381496,1456674,1316919
IvoryCoast,2000,2500,2000,2500,3000,3500,3500,5000,4000,4300,4500,4300,5552,6075,7522,0,0,0
Jamaica,3000,3000,3000,3000,4000,2000,2000,2000,2000,2300,2300,2000,1887,5232,5232,0,0,0
Japan,4748482,4612318,4325508,4184266,3905310,4203181,3509036,4572333,4562282,4699591,4215889,4146459,4386378,4391160,4301091,3809977,3675698,3448297
Jordan,10000,5000,5000,9000,10500,10000,11000,11500,14500,15700,14700,12400,12780,13166,14000,0,106304,0
Kazakhstan,39800,39000,39400,39000,40000,24000,38348,86959,153664,151424,81500,86707,41915,52836,77324,100595,0,97169
Kenya,2000,3000,2000,2000,5000,4000,4000,2000,2500,3000,2900,2400,2124,2861,2307,0,0,0
Kuwait,50000,65000,70000,80000,90000,90000,95000,116500,125000,126300,124200,95400,91251,91223,98454,72648,83460,93465
Kyrgyzstan,5000,5000,5000,4000,4500,4000,5000,4000,4000,4000,4000,1800,2000,2100,1348,0,0,0
Laos,1000,1000,1500,2000,3000,4000,4000,5000,6000,9800,5600,4200,3410,3741,4064,0,0,0
Latvia,10467,14234,21606,22217,7515,7970,13234,10665,10636,12452,13765,16359,16698,16878,16974,0,0,0
Lebanon,15000,15000,20000,33000,32000,33000,31000,35500,35500,38300,38700,35600,37221,33012,22086,0,0,0
Liberia,300,200,300,300,200,300,200,210,210,200,200,300,224,80,68,0,0,0
Libya,35000,35000,36000,37000,37500,38000,39000,20000,30000,30000,38500,31600,11000,12500,16100,0,0,0
Lithuania,16602,25582,32771,19831,5367,6365,10980,12165,12163,14503,17085,20320,25836,32382,43109,0,0,0
Luxembourg,48517,50837,51332,52359,47265,49726,49881,50398,46624,49793,46473,50561,52775,52786,54938,0,0,0
Madagascar,930,1100,1100,1000,900,900,1100,1200,1200,1600,1200,800,1199,1138,1043,0,0,0
Malawi,930,1100,1100,1000,1000,1500,1500,1000,1000,1100,1200,1500,569,724,598,0,0,0
Malaysia,410892,374169,442885,497459,486342,543594,535113,552189,576657,588348,591275,514545,514680,533201,550182,480965,452663,544838
Malta,6552,6745,6240,5423,5894,4056,5428,5884,5749,6451,7121,7333,7825,8128,7621,0,0,0
Mauritius,2900,3500,4000,4000,3000,4000,3000,7000,7500,8600,8000,8700,8753,8288,7722,0,0,0
Mexico,714010,680946,641394,589045,439120,503748,592101,649333,698217,745250,892194,1065912,984262,883043,764175,532097,520112,486962
Moldova,4000,5000,7000,11000,4000,5000,5500,5000,5000,5600,3700,4300,5260,5960,6406,0,0,0
Mongolia,500,500,1000,3000,3000,3000,3000,2000,1500,1100,700,1300,5260,5960,2970,0,0,0
Morocco,56183,75295,90941,102095,93761,91119,99727,117818,108177,109649,120875,152324,155306,163223,148354,117046,154284,143265
N.Caledonia,7397,7251,7717,7853,7246,7354,7525,7250,6272,6469,6068,5662,5921,5571,5818,0,0,0
Nepal,1000,1000,2000,1500,2000,1000,3000,3600,3500,5300,4000,6400,7445,6759,7505,0,0,0
Netherlands,465196,483999,504300,499980,387699,482531,555812,502544,416717,387569,449350,382825,414306,443531,446057,357996,324336,313609
NewZealand,77825,76804,77454,73397,54404,62029,63471,76871,82433,90131,94964,102514,107951,107674,103610,80433,111299,116334
Nicaragua,3000,6000,6000,6000,4000,3000,3000,3000,4000,5200,4800,5400,7699,9567,1296,0,0,0
Nigeria,16000,22000,7000,7000,34000,25000,30000,40000,40000,42000,15600,19200,4700,8550,5100,0,0,0
NorthMacedonia,9300,10000,10200,10500,6000,8500,8500,5000,2000,2700,3200,3800,3273,3885,4060,0,0,0
Norway,109907,109164,129195,110617,98675,127754,138345,137967,142151,144202,150686,154603,158650,147929,133964,124424,176276,174329
Oman,147500,144700,146300,145000,105000,115000,115000,130000,140000,138600,121100,115700,63789,49777,49924,0,0,0
Pakistan,141326,160256,159457,127863,94437,130038,140184,136026,121122,123950,182231,177222,203314,217392,162689,104387,198921,188318
Palestine,13500,15700,16400,18400,13400,17400,19700,21600,21100,21100,21100,21100,496,146,109,0,0,0
Panama,10000,15000,22000,30000,25000,30000,35000,40000,39800,43000,46700,46200,44009,36401,39049,0,0,0
Paraguay,3000,5000,6000,12000,7000,11000,20000,20000,19900,21500,18700,16000,18848,25204,20599,0,0,0
Peru,14231,20061,28430,55312,48775,73858,93055,128295,139453,140363,137039,133671,134623,115441,115241,81496,111436,118915
Philippines,35063,38131,41107,44313,46111,59623,57768,64165,76822,90287,116381,133188,295459,252848,258555,153833,180642,226403
Poland,207007,224728,277427,319190,276220,315855,277427,272719,289913,327709,354975,416123,486352,531889,555598,428347,446647,419749
Portugal,206488,194702,201816,213389,161013,223464,153404,95309,105921,142826,178503,207345,222129,228327,223799,145417,149740,156304
PuertoRico,96000,85000,92000,65000,65000,45000,55000,55000,54700,58500,49000,66500,84470,73080,82607,0,85486,0
Qatar,61100,59900,60500,60000,40000,40000,45000,60000,65000,71500,69200,50200,41176,38816,39679,0,0,0
R.ofCongo,200,200,200,500,1500,1500,1500,1500,1500,1500,1600,0,0,0,0,0,0,0
Romania,214967,247411,312533,285506,116016,94441,81709,66436,57710,82809,98325,115004,105083,129004,161562,126351,120804,127948
